method,stress_name,stress_value,num_queries,num_errors,accuracy,collapse_rate,forgetting_rate,stale_dominance_rate,residual_rate,forgetting_share_of_errors,stale_dominance_share_of_errors,residual_share_of_errors,mean_confidence
majority_vote,s5,1.0,90,37,0.5888888888888889,0.4111111111111111,0.18888888888888888,0.1111111111111111,0.1111111111111111,0.4594594594594595,0.2702702702702703,0.2702702702702703,0.6606939683403382
oracle_latest,overall,-1.0,540,95,0.8240740740740741,0.17592592592592593,0.17592592592592593,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s0,0.0,90,18,0.8,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s1,0.2,90,13,0.8555555555555555,0.14444444444444443,0.14444444444444443,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s2,0.4,90,19,0.7888888888888889,0.2111111111111111,0.2111111111111111,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s3,0.6,90,10,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s4,0.8,90,18,0.8,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.0
oracle_latest,s5,1.0,90,17,0.8111111111111111,0.18888888888888888,0.18888888888888888,0.0,0.0,1.0,0.0,0.0,1.0
oracle_valid,overall,-1.0,540,91,0.8314814814814815,0.1685185185185185,0.0,0.08333333333333333,0.08518518518518518,0.0,0.4945054945054945,0.5054945054945055,0.8313151218539006
oracle_valid,s0,0.0,90,9,0.9,0.1,0.0,0.07777777777777778,0.022222222222222223,0.0,0.7777777777777778,0.2222222222222222,0.9298189972996287
oracle_valid,s1,0.2,90,13,0.8555555555555555,0.14444444444444443,0.0,0.044444444444444446,0.1,0.0,0.3076923076923077,0.6923076923076923,0.9026445903280877
oracle_valid,s2,0.4,90,11,0.8777777777777778,0.12222222222222222,0.0,0.07777777777777778,0.044444444444444446,0.0,0.6363636363636364,0.36363636363636365,0.8600938277689405
oracle_valid,s3,0.6,90,18,0.8,0.2,0.0,0.06666666666666667,0.13333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.7864639432387894
oracle_valid,s4,0.8,90,20,0.7777777777777778,0.2222222222222222,0.0,0.12222222222222222,0.1,0.0,0.55,0.45,0.7750721843767825
oracle_valid,s5,1.0,90,20,0.7777777777777778,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.5,0.5,0.7337971881111744
proposed_heuristic,overall,-1.0,540,181,0.6648148148148149,0.3351851851851852,0.20925925925925926,0.018518518518518517,0.10740740740740741,0.6243093922651933,0.055248618784530384,0.32044198895027626,0.8749513781749823
proposed_heuristic,s0,0.0,90,24,0.7333333333333333,0.26666666666666666,0.2,0.03333333333333333,0.03333333333333333,0.75,0.125,0.125,0.955329305043602
proposed_heuristic,s1,0.2,90,22,0.7555555555555555,0.24444444444444444,0.18888888888888888,0.0,0.05555555555555555,0.7727272727272727,0.0,0.22727272727272727,0.9279894451266961
proposed_heuristic,s2,0.4,90,29,0.6777777777777778,0.32222222222222224,0.2111111111111111,0.022222222222222223,0.08888888888888889,0.6551724137931034,0.06896551724137931,0.27586206896551724,0.8958797222699486
proposed_heuristic,s3,0.6,90,26,0.7111111111111111,0.28888888888888886,0.14444444444444443,0.011111111111111112,0.13333333333333333,0.5,0.038461538461538464,0.46153846153846156,0.8700510274940292
proposed_heuristic,s4,0.8,90,37,0.5888888888888889,0.4111111111111111,0.25555555555555554,0.022222222222222223,0.13333333333333333,0.6216216216216216,0.05405405405405406,0.32432432432432434,0.8191067705082615
proposed_heuristic,s5,1.0,90,43,0.5222222222222223,0.4777777777777778,0.25555555555555554,0.022222222222222223,0.2,0.5348837209302325,0.046511627906976744,0.4186046511627907,0.7813519986073558
proposed_learned,overall,-1.0,540,164,0.6962962962962963,0.3037037037037037,0.17592592592592593,0.05740740740740741,0.07037037037037037,0.5792682926829268,0.18902439024390244,0.23170731707317074,0.8451017726417537
proposed_learned,s0,0.0,90,25,0.7222222222222222,0.2777777777777778,0.2,0.044444444444444446,0.03333333333333333,0.72,0.16,0.12,0.9511825397278719
proposed_learned,s1,0.2,90,20,0.7777777777777778,0.2222222222222222,0.14444444444444443,0.03333333333333333,0.044444444444444446,0.65,0.15,0.2,0.8930831981713602
proposed_learned,s2,0.4,90,24,0.7333333333333333,0.26666666666666666,0.2111111111111111,0.022222222222222223,0.03333333333333333,0.7916666666666666,0.08333333333333333,0.125,0.8646027212670091
proposed_learned,s3,0.6,90,25,0.7222222222222222,0.2777777777777778,0.1111111111111111,0.044444444444444446,0.12222222222222222,0.4,0.16,0.44,0.824107954504073
proposed_learned,s4,0.8,90,33,0.6333333333333333,0.36666666666666664,0.2,0.1,0.06666666666666667,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.7733126534206464
proposed_learned,s5,1.0,90,37,0.5888888888888889,0.4111111111111111,0.18888888888888888,0.1,0.12222222222222222,0.4594594594594595,0.24324324324324326,0.2972972972972973,0.7643215687595616
proposed_learned_direct,overall,-1.0,540,168,0.6888888888888889,0.3111111111111111,0.17592592592592593,0.07037037037037037,0.06481481481481481,0.5654761904761905,0.2261904761904762,0.20833333333333334,0.8916429643823993
proposed_learned_direct,s0,0.0,90,25,0.7222222222222222,0.2777777777777778,0.2,0.06666666666666667,0.011111111111111112,0.72,0.24,0.04,0.9641103737156964
proposed_learned_direct,s1,0.2,90,26,0.7111111111111111,0.28888888888888886,0.15555555555555556,0.044444444444444446,0.08888888888888889,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.9227659512909858
proposed_learned_direct,s2,0.4,90,27,0.7,0.3,0.2111111111111111,0.05555555555555555,0.03333333333333333,0.7037037037037037,0.18518518518518517,0.1111111111111111,0.9004623361444304
proposed_learned_direct,s3,0.6,90,23,0.7444444444444445,0.25555555555555554,0.1111111111111111,0.05555555555555555,0.08888888888888889,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.8817888626153163
proposed_learned_direct,s4,0.8,90,34,0.6222222222222222,0.37777777777777777,0.18888888888888888,0.1,0.08888888888888889,0.5,0.2647058823529412,0.23529411764705882,0.8482465546658893
proposed_learned_direct,s5,1.0,90,33,0.6333333333333333,0.36666666666666664,0.18888888888888888,0.1,0.07777777777777778,0.5151515151515151,0.2727272727272727,0.21212121212121213,0.8324837078620771
proposed_learned_direct_valid,overall,-1.0,540,154,0.7148148148148148,0.2851851851851852,0.17962962962962964,0.04259259259259259,0.06296296296296296,0.6298701298701299,0.14935064935064934,0.22077922077922077,0.8861488758622514
proposed_learned_direct_valid,s0,0.0,90,23,0.7444444444444445,0.25555555555555554,0.2,0.03333333333333333,0.022222222222222223,0.782608695652174,0.13043478260869565,0.08695652173913043,0.9203609723924179
proposed_learned_direct_valid,s1,0.2,90,22,0.7555555555555555,0.24444444444444444,0.15555555555555556,0.022222222222222223,0.06666666666666667,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.9249003836056513
proposed_learned_direct_valid,s2,0.4,90,24,0.7333333333333333,0.26666666666666666,0.2111111111111111,0.03333333333333333,0.022222222222222223,0.7916666666666666,0.125,0.08333333333333333,0.8893947648827348
proposed_learned_direct_valid,s3,0.6,90,22,0.7555555555555555,0.24444444444444444,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.8907322300454271
proposed_learned_direct_valid,s4,0.8,90,33,0.6333333333333333,0.36666666666666664,0.2111111111111111,0.07777777777777778,0.07777777777777778,0.5757575757575758,0.21212121212121213,0.21212121212121213,0.8318176308320949
proposed_learned_direct_valid,s5,1.0,90,30,0.6666666666666666,0.3333333333333333,0.18888888888888888,0.06666666666666667,0.07777777777777778,0.5666666666666667,0.2,0.23333333333333334,0.8596872734151826
proposed_learned_direct_valid_conflictaware,overall,-1.0,540,155,0.7129629629629629,0.28703703703703703,0.17962962962962964,0.040740740740740744,0.06666666666666667,0.6258064516129033,0.14193548387096774,0.23225806451612904,0.9258574934361944
proposed_learned_direct_valid_conflictaware,s0,0.0,90,23,0.7444444444444445,0.25555555555555554,0.2,0.03333333333333333,0.022222222222222223,0.782608695652174,0.13043478260869565,0.08695652173913043,0.939832567419702
proposed_learned_direct_valid_conflictaware,s1,0.2,90,22,0.7555555555555555,0.24444444444444444,0.15555555555555556,0.022222222222222223,0.06666666666666667,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.9506165456559217
proposed_learned_direct_valid_conflictaware,s2,0.4,90,24,0.7333333333333333,0.26666666666666666,0.2111111111111111,0.022222222222222223,0.03333333333333333,0.7916666666666666,0.08333333333333333,0.125,0.9443153291158595
proposed_learned_direct_valid_conflictaware,s3,0.6,90,22,0.7555555555555555,0.24444444444444444,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.9315617235129995
proposed_learned_direct_valid_conflictaware,s4,0.8,90,34,0.6222222222222222,0.37777777777777777,0.2111111111111111,0.07777777777777778,0.08888888888888889,0.5588235294117647,0.20588235294117646,0.23529411764705882,0.8925796532571744
proposed_learned_direct_valid_conflictaware,s5,1.0,90,30,0.6666666666666666,0.3333333333333333,0.18888888888888888,0.06666666666666667,0.07777777777777778,0.5666666666666667,0.2,0.23333333333333334,0.8962391416555091
proposed_learned_direct_valid_resolver,overall,-1.0,540,119,0.7796296296296297,0.22037037037037038,0.17592592592592593,0.007407407407407408,0.037037037037037035,0.7983193277310925,0.03361344537815126,0.16806722689075632,0.6969131052294413
proposed_learned_direct_valid_resolver,s0,0.0,90,18,0.8,0.2,0.18888888888888888,0.0,0.011111111111111112,0.9444444444444444,0.0,0.05555555555555555,0.8513058709182371
proposed_learned_direct_valid_resolver,s1,0.2,90,16,0.8222222222222222,0.17777777777777778,0.15555555555555556,0.0,0.022222222222222223,0.875,0.0,0.125,0.8028080052066151
proposed_learned_direct_valid_resolver,s2,0.4,90,20,0.7777777777777778,0.2222222222222222,0.2111111111111111,0.0,0.011111111111111112,0.95,0.0,0.05,0.7320905684986474
proposed_learned_direct_valid_resolver,s3,0.6,90,15,0.8333333333333334,0.16666666666666666,0.1111111111111111,0.011111111111111112,0.044444444444444446,0.6666666666666666,0.06666666666666667,0.26666666666666666,0.6611198113861572
